time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/explained_variance,train/std,train/clip_fraction,train/learning_rate,train/n_updates,train/value_loss,train/policy_gradient_loss,train/loss,train/entropy_loss,train/approx_kl,train/clip_range
484,278528,574,136,-0.009422540664672852,1.5652917623519897,0.07158203125,0.0003,1350,1783.0567870855332,-0.017306175295379943,1640.2525634765625,-18.63216289281845,0.009562503,0.2
484,280576,578,137,-0.1325627565383911,1.5640290975570679,0.12041015625,0.0003,1360,2541.868520927429,-0.02111857798008714,1649.798095703125,-18.626497054100035,0.012947222,0.2
484,282624,583,138,-0.05182230472564697,1.5674456357955933,0.027978515625,0.0003,1370,1720.4391401290893,-0.014766719902399927,1499.8682861328125,-18.634427380561828,0.005632095,0.2
484,284672,587,139,-0.09383523464202881,1.563353180885315,0.073828125,0.0003,1380,2113.8783881664276,-0.01917621685715858,1061.2257080078125,-18.63347725868225,0.008946835,0.2
484,286720,591,140,-0.031119704246520996,1.5681483745574951,0.095361328125,0.0003,1390,1724.5479180336,-0.022322253842139615,1901.6712646484375,-18.63569093942642,0.011368687,0.2
484,288768,596,141,-0.027173876762390137,1.5688399076461792,0.0888671875,0.0003,1400,1927.2859473705291,-0.02031817305542063,450.4609680175781,-18.650838828086854,0.009858048,0.2
484,290816,600,142,-0.07638347148895264,1.5818313360214233,0.12138671875,0.0003,1410,1979.5022194862365,-0.01971636980306357,1244.98583984375,-18.707341420650483,0.013322165,0.2
484,292864,604,143,-0.017504572868347168,1.5806013345718384,0.082177734375,0.0003,1420,2023.4454081058502,-0.019807755196234213,717.4918212890625,-18.73186206817627,0.01009331,0.2
484,294912,608,144,-0.022539258003234863,1.5873245000839233,0.05390625,0.0003,1430,1668.5405769824981,-0.02063835825829301,1300.89697265625,-18.749481254816054,0.008493581,0.2
484,296960,612,145,-0.07093727588653564,1.5942661762237549,0.0662109375,0.0003,1440,1986.3171700954438,-0.020736446761293336,1166.560791015625,-18.790695530176162,0.010035307,0.2
484,299008,617,146,-0.06614124774932861,1.5885509252548218,0.09912109375,0.0003,1450,1941.6747059822083,-0.01766622950672172,1130.15673828125,-18.79918082356453,0.013562357,0.2
484,301056,621,147,-0.023580431938171387,1.5913795232772827,0.058154296875,0.0003,1460,2220.0180634498597,-0.017010507677332497,417.26702880859375,-18.7865011036396,0.007940262,0.2
484,303104,625,148,-0.19365859031677246,1.589537262916565,0.0685546875,0.0003,1470,1867.9763212680816,-0.01980468920664862,1009.3438110351562,-18.786903446912767,0.00892226,0.2
484,305152,629,149,-0.09458065032958984,1.5954622030258179,0.09990234375,0.0003,1480,1947.5011762857437,-0.017971824026608373,1714.0960693359375,-18.797923839092256,0.011342632,0.2
484,307200,634,150,-0.024041414260864258,1.5976431369781494,0.075341796875,0.0003,1490,1516.3802467107773,-0.019146197693771683,136.3406524658203,-18.831679779291154,0.010145735,0.2
484,309248,638,151,-0.20409858226776123,1.59614896774292,0.0375,0.0003,1500,1809.1098627090455,-0.016799041333433705,1088.1611328125,-18.83187817335129,0.006345683,0.2
484,311296,643,152,-0.2488245964050293,1.5981870889663696,0.033837890625,0.0003,1510,1751.181095457077,-0.015556173271033914,221.32069396972656,-18.83486557006836,0.0061087785,0.2
484,313344,647,153,-0.1545546054840088,1.6053584814071655,0.086376953125,0.0003,1520,2025.4387964248658,-0.02002162946446333,106.16380310058594,-18.862642610073088,0.0114844525,0.2
484,315392,651,154,-0.10052990913391113,1.6159839630126953,0.0728515625,0.0003,1530,2284.7679507255552,-0.01798543537443038,118.77628326416016,-18.91769238114357,0.009821374,0.2
