timestamp,step,episode,base_pos_x,base_pos_y,base_pos_z,base_vel_x,base_vel_y,base_vel_z,base_ang_vel_x,base_ang_vel_y,base_ang_vel_z,ee1_pos_x,ee1_pos_y,ee1_pos_z,ee2_pos_x,ee2_pos_y,ee2_pos_z,ee3_pos_x,ee3_pos_y,ee3_pos_z,ee4_pos_x,ee4_pos_y,ee4_pos_z,target_x,target_y,target_z,distance_to_target,ee_target_distances,tendon_force_index,tendon_force_middle,tendon_force_ring,tendon_force_thumb,control_linear_x,control_linear_y,control_linear_z,control_angular_x,control_angular_y,control_angular_z,tactile_deformation_spans,tactile_contact_detected,reward,distance_reward,tendon_efficiency_reward,success
1759211553.726011,24,12,5.287961051219319e-05,-0.00035379290391138077,0.017874608889310143,0.012703118759262727,-0.08488051628823993,0.04415150253523829,-0.0008948409582166805,5.4339474360263346e-05,0.07934456264213356,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0.35,0.4420261320917781,0,0.81105095,0.8134676,0.0,0.7343152,0.047470942,-0.30482215,0.23859796,-1.0,-0.023711048,0.08406878,0.0,0,0.07207869218735295,0.029123523701711465,0.14102915525436402,False
1759211553.7282858,25,"{'r': 4.937637694926722e-05, 'l': 1, 't': 1759211553.6957257}",0.0012222168750992647,5.812149248194148e-05,0.01801539955990382,0.29334406226015985,0.013978938846157408,0.07794126347772054,-0.127991608410008,-0.2739001578345623,-0.4684078106555358,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0.35,0.44111985586263713,0,0.61989087,0.8907894,0.25127232,0.22484308,1.0,0.048394248,0.35205287,-1.0,-0.8691816,-0.69896275,0.0,0,0.05738821136705907,0.029335442659783658,0.15033010840415956,False
1759211553.7306337,26,13,0.001058679364469369,-0.0011520261153618464,0.0178745509756411,0.25409505970898494,-0.2764564870363517,0.04413760325466781,0.00012772366828556203,-7.494087118820048e-05,-0.3964358427464158,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0.35,0.4417307211505366,0,0.085879296,0.6617431,0.13848987,0.0,1.0,-1.0,-0.06045689,-0.18905242,0.75836396,-0.72577435,0.0,0,0.07748450655900378,0.029192432355512554,0.17784719467163088,False
1759211553.734979,27,"{'r': 0.04358485435850323, 'l': 1, 't': 1759211553.697994}",-0.00019393551612053003,0.00014677864328121058,0.017874586849818623,-0.04653251163259084,0.03525665503798199,0.04414621305727301,0.0005296524892130922,-9.312162492541853e-05,-0.017923492355625667,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0.35,0.4419957956589735,0,0.3040439,0.90966797,0.041373342,0.5554054,-0.76201606,0.32594582,-1.0,0.115150325,-0.25859213,-0.15219103,0.0,0,0.08427801156584475,0.02913059259001467,0.15473773479461672,False
1759211553.7372096,28,14,0.0001456869767465462,0.0005545114489973859,0.017874661264227647,0.03497688665550745,0.13311252840986407,0.04416407251543897,-0.0010012272825062896,-0.00014153299066313463,0.08936289026105432,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0.35,0.44166545304667115,0,0.14100885,0.14539188,0.5904701,0.61452633,0.43440342,1.0,-1.0,0.07304266,-0.17377235,0.27793068,0.0,0,0.09253230212121463,0.029207679013304445,0.16271507143974306,False
1759211553.7394617,29,"{'r': 0.06703867394043264, 'l': 1, 't': 1759211553.7021134}",0.00022041513417696593,0.000811087192604247,0.017874552516298978,0.05291164443880819,0.19469070687551074,0.04413797301255856,-0.0004138069336481198,-9.551513871630668e-05,-0.2652429715617522,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0.35,0.4415365053839198,0,0.5732578,0.82920504,0.11912972,0.34951025,0.39760038,1.0,-0.55330986,1.0,0.7502537,-0.33239892,0.0,0,0.06524118778749335,0.02923782465501655,0.15322242975234987,False
1759211553.7436004,30,15,-4.200702753308616e-09,-2.4680852151913123e-08,0.017874613296564073,1.1004067675568496e-05,2.3857245974992503e-05,0.044152560276181696,-0.0010495367481194728,0.00019918861738499327,-0.00012527216071134273,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0.35,0.44193583470625514,0,0.0,0.5386133,1.0,0.82432044,0.27828535,0.19876488,-1.0,0.66801476,0.8755873,-0.3951102,0.0,0,0.046717697273290046,0.029144569526708006,0.14092665910720825,False
1759211553.7458718,31,"{'r': 0.06249006011226596, 'l': 1, 't': 1759211553.7043664}",-8.927469536891626e-06,-1.1080096642458473e-05,0.017874596893392526,-0.0021305804525176275,-0.002629442543698582,0.04414862351501053,0.0002116003537448452,-9.349191074448093e-05,0.008135463653461517,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0.35,0.44194464738805916,0,0.912365,0.5585351,0.01736626,0.7050552,-0.46358547,-0.2903044,-0.81177956,-0.1743497,-0.34576023,1.0,0.0,0,0.06402740518251362,0.029142514864596757,0.14516696333885193,False
1759211553.748084,32,16,-0.00026828606996917603,0.0008447798961931986,0.017874543721957143,-0.06437664455626588,0.2027769557368591,0.04413586237051853,3.039761211304226e-05,-0.00017517481438900084,-0.1519262912693367,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0.35,0.4418017806715056,0,0.76286626,0.75053626,1.0,0.5439697,-0.30177087,0.80167806,-0.022971528,-0.43808052,0.70823383,0.022359498,0.0,0,0.05743227130335711,0.02917584186953446,0.12356569766998292,False
1759211553.7503538,33,"{'r': 0.053826269810849134, 'l': 1, 't': 1759211553.706616}",-0.0008973229908655088,0.00110913523629281,0.01787448934668426,-0.21534550557138576,0.2662222373607659,0.04412281230502664,0.00018814917582321566,-0.0003557175685061642,-0.752535825553957,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0.35,0.4420693510308003,0,1.0,0.25114182,0.69839966,0.043358624,-0.91781044,1.0,-0.1794219,-0.42519408,0.68283755,-1.0,0.0,0,0.04490730397764364,0.029113455939923885,0.15017749667167665,False
