time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/entropy_loss,train/learning_rate,train/loss,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/std,train/n_updates,train/value_loss,train/clip_range
104448,51,560,186,-15.35809197127819,0.0003,26721.3046875,1.1920928955078125e-07,0.144921875,-0.03143825587758329,0.013664171,1.12787663936615,500,56689.49642333984,0.2
106496,52,584,182,-15.416834673285484,0.0003,25870.30859375,-0.00026297569274902344,0.158935546875,-0.03300027876975946,0.014163372,1.1342601776123047,510,52149.42446289062,0.2
108544,53,609,177,-15.465047532320023,0.0003,28658.1171875,-0.012915849685668945,0.139599609375,-0.03039510043745395,0.013698439,1.13924241065979,520,52534.91685791015,0.2
110592,54,635,174,-15.50107637345791,0.0003,26829.31640625,3.5762786865234375e-07,0.146826171875,-0.03206039798460551,0.013494097,1.1425625085830688,530,53389.8990600586,0.2
112640,55,660,170,-15.534530138969421,0.0003,26885.18359375,3.5762786865234375e-07,0.14580078125,-0.030982980906264855,0.0142968865,1.1466532945632935,540,58895.182067871094,0.2
114688,56,686,167,-15.536401426792144,0.0003,30089.435546875,6.556510925292969e-07,0.133203125,-0.02847662037529517,0.012658348,1.14528489112854,550,68165.59873046874,0.2
116736,57,714,163,-15.563885053992271,0.0003,27449.42578125,-4.76837158203125e-07,0.13837890625,-0.0290978262302815,0.013730821,1.1509791612625122,560,54389.10572509766,0.2
118784,58,743,159,-15.604761990904809,0.0003,22241.083984375,1.3709068298339844e-06,0.1580078125,-0.03190663351269905,0.014410129,1.1546101570129395,570,45354.76062011719,0.2
120832,59,773,156,-15.618220821022987,0.0003,28156.58984375,0.022047102451324463,0.094482421875,-0.02333614410017617,0.011199242,1.1551814079284668,580,58912.76378173828,0.2
122880,60,803,152,-15.633772823214532,0.0003,26272.638671875,-0.0011802911758422852,0.144921875,-0.02929605564713711,0.013664476,1.1578139066696167,590,53809.76488037109,0.2
124928,61,835,149,-15.661853146553039,0.0003,27002.1328125,-4.9233436584472656e-05,0.162451171875,-0.031223879888420923,0.014880115,1.1619471311569214,600,64144.01719970703,0.2
126976,62,866,146,-15.702625006437302,0.0003,30289.767578125,-3.0040740966796875e-05,0.1341796875,-0.026863432378740983,0.01435015,1.166812539100647,610,62807.0134765625,0.2
129024,63,899,143,-15.753041133284569,0.0003,34560.484375,0.003702878952026367,0.13759765625,-0.029920612421119586,0.012368643,1.1733649969100952,620,58723.47596435547,0.2
131072,64,933,140,-15.769888541102409,0.0003,29273.033203125,0.00017702579498291016,0.156201171875,-0.03383920478372602,0.014912156,1.171562910079956,630,65205.50203857422,0.2
133120,65,967,137,-15.772468355298042,0.0003,17853.033203125,6.4373016357421875e-06,0.207763671875,-0.03894555225997465,0.01899704,1.1741269826889038,640,38213.545391845706,0.2
135168,66,1001,134,-15.759819564223289,0.0003,18214.720703125,0.00014191865921020508,0.17080078125,-0.0361829533794662,0.015249074,1.1703933477401733,650,49230.51051025391,0.2
137216,67,1038,132,-15.751345878839492,0.0003,32486.732421875,4.2378902435302734e-05,0.14716796875,-0.03120054762257496,0.014881233,1.1719090938568115,660,65558.90114746094,0.2
