time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/entropy_loss,train/clip_range,train/loss,train/std,train/approx_kl,train/value_loss,train/explained_variance
844,68,165,139264,670,-0.029251202836167067,0.143212890625,0.0003,-15.443028208613395,0.2,36456.55859375,1.1392699480056763,0.014158515,70460.18704833984,5.960464477539063e-08
866,69,163,141312,680,-0.033485917214420624,0.155224609375,0.0003,-15.48497394323349,0.2,31939.06640625,1.142530918121338,0.014804646,58189.58780517578,-1.0728836059570312e-06
890,70,161,143360,690,-0.03616633187630214,0.180810546875,0.0003,-15.488499793410302,0.2,25207.501953125,1.1432522535324097,0.017054796,58769.778356933595,0.0
913,71,159,145408,700,-0.031060581796918996,0.146337890625,0.0003,-15.487081035971642,0.2,35855.703125,1.1422845125198364,0.014245998,69271.0315185547,-1.1920928955078125e-07
936,72,157,147456,710,-0.03626969348406419,0.177880859375,0.0003,-15.494905468821525,0.2,29236.9296875,1.14466392993927,0.015067067,57216.194372558595,-2.1338462829589844e-05
959,73,155,149504,720,-0.032322911161463706,0.156396484375,0.0003,-15.533785364031791,0.2,34722.01953125,1.15019690990448,0.014848513,67948.24423828124,1.0728836059570312e-06
983,74,154,151552,730,-0.03719012534857029,0.19033203125,0.0003,-15.560824313759804,0.2,21298.54296875,1.1512424945831299,0.017468877,44363.06555786133,2.980232238769531e-07
1008,75,152,153600,740,-0.031574658253521196,0.1546875,0.0003,-15.571933457255364,0.2,28058.63671875,1.1538504362106323,0.014612119,61818.245922851565,0.0
1033,76,150,155648,750,-0.03442271851527039,0.16484375,0.0003,-15.61142003238201,0.2,26888.013671875,1.1602226495742798,0.016574584,53397.56091308594,-1.1920928955078125e-07
1057,77,149,157696,760,-0.030054247737280094,0.14169921875,0.0003,-15.649576720595359,0.2,34302.72265625,1.1641935110092163,0.013393154,73838.71619873047,-1.430511474609375e-06
1083,78,147,159744,770,-0.03132115171174519,0.14638671875,0.0003,-15.675218883156777,0.2,36701.93359375,1.1662696599960327,0.013891972,65076.18688964844,5.960464477539063e-08
1110,79,145,161792,780,-0.0336283756303601,0.160791015625,0.0003,-15.657288843393326,0.2,31243.00390625,1.1614501476287842,0.014184907,56539.406237792966,1.7881393432617188e-07
1138,80,143,163840,790,-0.03332683400658425,0.1609375,0.0003,-15.67368379831314,0.2,27457.796875,1.1689329147338867,0.015798619,64496.58072509766,0.0
1167,81,142,165888,800,-0.03470726702362299,0.19404296875,0.0003,-15.723472112417221,0.2,20465.19140625,1.1736758947372437,0.016931891,49020.551306152345,0.0
1197,82,140,167936,810,-0.0319774362113094,0.153857421875,0.0003,-15.738234078884124,0.2,23075.96484375,1.1741456985473633,0.015841458,61488.00518798828,-4.76837158203125e-06
1227,83,138,169984,820,-0.03321647680713795,0.163134765625,0.0003,-15.745544227957726,0.2,30362.87890625,1.1756640672683716,0.014890652,64902.16887207031,-1.5497207641601562e-06
1253,84,137,172032,830,-0.03139880087110214,0.160546875,0.0003,-15.799059909582137,0.2,30660.43359375,1.1849935054779053,0.015328191,58804.44080810547,0.0
1280,85,135,174080,840,-0.033156271412735805,0.1599609375,0.0003,-15.859513252973557,0.2,25531.607421875,1.1905783414840698,0.015968475,60934.88562011719,-2.384185791015625e-06
1310,86,134,176128,850,-0.029543310208828187,0.1384765625,0.0003,-15.87566473186016,0.2,38544.09375,1.1907638311386108,0.0154970605,69055.40573730468,0.0
1341,87,132,178176,860,-0.03559837009815965,0.181640625,0.0003,-15.897421443462372,0.2,33462.296875,1.1948261260986328,0.017887559,58263.055004882815,1.0728836059570312e-06
1372,88,131,180224,870,-0.033560170099372046,0.1646484375,0.0003,-15.938570773601532,0.2,20202.1875,1.199919581413269,0.01576346,52632.87685546875,-3.5762786865234375e-07
1405,89,129,182272,880,-0.03296518990537152,0.178759765625,0.0003,-15.964343708753585,0.2,21032.669921875,1.2009385824203491,0.015754461,45525.664489746094,5.960464477539063e-08
1438,90,128,184320,890,-0.0371985106205102,0.18681640625,0.0003,-15.97570409476757,0.2,26980.583984375,1.2034658193588257,0.0179531,49116.32869873047,1.1920928955078125e-07
1472,91,126,186368,900,-0.030866567697376012,0.18203125,0.0003,-15.988079860806465,0.2,22953.41796875,1.2049925327301025,0.01647866,46357.5540649414,0.0
1507,92,125,188416,910,-0.03289849481661804,0.160546875,0.0003,-16.030817848443984,0.2,29808.994140625,1.211936354637146,0.015486253,59509.17478027344,-3.5762786865234375e-07
1542,93,123,190464,920,-0.03548457653087098,0.18779296875,0.0003,-16.07752544283867,0.2,26733.91796875,1.2166649103164673,0.016519062,45789.257153320315,-1.1920928955078125e-07
1577,94,122,192512,930,-0.030425498337717728,0.150830078125,0.0003,-16.108369439840317,0.2,28884.88671875,1.2199327945709229,0.0144357495,60602.94910888672,-2.384185791015625e-07
1614,95,120,194560,940,-0.0286716738861287,0.135888671875,0.0003,-16.129270446300506,0.2,24343.732421875,1.2219880819320679,0.014275473,57164.74576416016,0.0
1650,96,119,196608,950,-0.034485888716881165,0.168994140625,0.0003,-16.15309351682663,0.2,29050.169921875,1.2258822917938232,0.017010948,54678.75844726562,0.0
1687,97,117,198656,960,-0.03090158987615723,0.16171875,0.0003,-16.181934958696367,0.2,28479.115234375,1.2282326221466064,0.0150540825,51940.33084716797,-3.5762786865234375e-07
1725,98,116,200704,970,-0.03478492594731506,0.180126953125,0.0003,-16.237155437469482,0.2,30455.890625,1.2372028827667236,0.017559197,52278.05041503906,-1.1920928955078125e-07
1762,99,115,202752,980,-0.034418928634840994,0.17001953125,0.0003,-16.292715513706206,0.2,19043.138671875,1.2415359020233154,0.01706232,46671.71549072266,-5.960464477539062e-07
1801,100,113,204800,990,-0.03393554123758804,0.169775390625,0.0003,-16.31327677369118,0.2,20744.103515625,1.242461085319519,0.016792854,42806.648657226564,-0.01417243480682373
1840,101,112,206848,1000,-0.031332120718434456,0.175244140625,0.0003,-16.350072938203812,0.2,25738.0625,1.2499706745147705,0.015726082,55488.07333984375,0.0
1881,102,111,208896,1010,-0.036428357486147436,0.213623046875,0.0003,-16.445267140865326,0.2,19196.8046875,1.2633320093154907,0.018290218,36297.69896850586,-2.384185791015625e-07
1922,103,109,210944,1020,-0.03384930682950653,0.186328125,0.0003,-16.511416792869568,0.2,20611.314453125,1.2700546979904175,0.016923511,41625.422344970706,-0.0004190206527709961
1963,104,108,212992,1030,-0.0317338083172217,0.164208984375,0.0003,-16.545576506853102,0.2,20819.814453125,1.2742195129394531,0.015684802,47061.09112548828,-0.006383538246154785
2003,105,107,215040,1040,-0.0347222645272268,0.183740234375,0.0003,-16.575260293483733,0.2,29735.423828125,1.2778217792510986,0.018396419,53424.799584960936,-3.9458274841308594e-05
2049,106,105,217088,1050,-0.03380758510902524,0.19111328125,0.0003,-16.601569789648057,0.2,21580.1640625,1.2823034524917603,0.01630873,45716.742687988284,0.0
2101,107,104,219136,1060,-0.031128748180344702,0.1685546875,0.0003,-16.654310196638107,0.2,19087.455078125,1.2898796796798706,0.015952442,38487.70988769531,0.0
2156,108,102,221184,1070,-0.037430914930882866,0.19755859375,0.0003,-16.675688701868058,0.2,19744.771484375,1.2905241250991821,0.017594583,52148.771911621094,0.0
2208,109,101,223232,1080,-0.036830562583054414,0.18994140625,0.0003,-16.711995309591295,0.2,22365.466796875,1.296704888343811,0.017359778,40883.81117553711,0.0
