time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/value_loss,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/clip_fraction,train/explained_variance,train/loss,train/std,train/n_updates
394,180224,457,88,9.960502649238034e-10,0.0003,0.2,-0.044393546506762506,-15.908227917551994,0.030709084,0.290576171875,-2.319279193878174,-0.23166319727897644,1.1892180442810059,870
398,182272,457,89,1.0288816630118352e-07,0.0003,0.2,-0.04598044823796954,-15.907188206911087,0.034461908,0.289111328125,-2.12751841545105,-0.24852989614009857,1.190271019935608,880
403,184320,457,90,1.3643373302507644e-07,0.0003,0.2,-0.03654258439055411,-15.934593546390534,0.026524786,0.258349609375,-24.174184799194336,-0.225094273686409,1.1947782039642334,890
407,186368,457,91,6.452886979757544e-08,0.0003,0.2,-0.04040325008390937,-15.954397842288017,0.027289435,0.259716796875,-28.7088623046875,-0.21670085191726685,1.1961395740509033,900
412,188416,457,92,7.582862172894611e-09,0.0003,0.2,-0.04495370126096532,-15.956487849354744,0.032967173,0.29951171875,-4.647982597351074,-0.20265240967273712,1.1957241296768188,910
416,190464,456,93,5.8384052564752766e-09,0.0003,0.2,-0.0363352198357461,-15.983219227194786,0.028953765,0.259814453125,-3.022843360900879,-0.20130756497383118,1.2014626264572144,920
421,192512,456,94,2.0786652354248815e-09,0.0003,0.2,-0.04258650635310914,-16.02064151763916,0.029786358,0.283349609375,-6.4928083419799805,-0.18649238348007202,1.204360008239746,930
425,194560,456,95,4.143120540048284e-09,0.0003,0.2,-0.047612023848341775,-16.05132034420967,0.034433812,0.305517578125,-1.2377545833587646,-0.23969265818595886,1.2085715532302856,940
430,196608,456,96,3.513030390877442e-08,0.0003,0.2,-0.051244088096427734,-16.06847168803215,0.032851256,0.299267578125,-6.717926979064941,-0.19915147125720978,1.208472728729248,950
434,198656,456,97,1.4176627721740331e-07,0.0003,0.2,-0.04136246289126575,-16.068392741680146,0.029002093,0.2619140625,-2.213683843612671,-0.23164376616477966,1.2093753814697266,960
439,200704,456,98,2.3208363569837688e-08,0.0003,0.2,-0.03871326456428505,-16.098677396774292,0.031432748,0.269775390625,-3.3095993995666504,-0.15802855789661407,1.214052438735962,970
443,202752,456,99,3.157151449439954e-08,0.0003,0.2,-0.04003558955446351,-16.11266991496086,0.033628438,0.2908203125,-5.92299747467041,-0.2264891117811203,1.2122446298599243,980
448,204800,456,100,1.0610051095316653e-06,0.0003,0.2,-0.04064661977463402,-16.09504632949829,0.031701777,0.279296875,-0.7805260419845581,-0.19878718256950378,1.2122658491134644,990
453,206848,456,101,1.6053752949218846e-08,0.0003,0.2,-0.046497863880358634,-16.084597462415694,0.030239217,0.282470703125,-2.791868209838867,-0.22795280814170837,1.2101942300796509,1000
458,208896,456,102,1.5626850372735258e-09,0.0003,0.2,-0.0441072934481781,-16.109342938661577,0.032387774,0.282470703125,-3.9820079803466797,-0.20410341024398804,1.2165215015411377,1010
462,210944,455,103,2.2181487955002383e-10,0.0003,0.2,-0.04836546230944805,-16.172144764661788,0.035684407,0.30068359375,-7.118808746337891,-0.22018174827098846,1.2243763208389282,1020
467,212992,455,104,4.091182931439865e-11,0.0003,0.2,-0.04771691343630664,-16.211600333452225,0.03275197,0.306298828125,-2.5741994380950928,-0.23400011658668518,1.2279614210128784,1030
471,215040,455,105,4.176176395936102e-11,0.0003,0.2,-0.04842848273110576,-16.228310257196426,0.03333916,0.291650390625,-4.055917263031006,-0.20294329524040222,1.2286888360977173,1040
476,217088,455,106,3.7614217334369304e-11,0.0003,0.2,-0.04807161894568708,-16.24967058300972,0.03468574,0.2990234375,-2.2697675228118896,-0.2252255380153656,1.2321633100509644,1050
480,219136,455,107,1.8841057515962388e-11,0.0003,0.2,-0.043790783535223456,-16.27820966243744,0.029712005,0.286328125,-3.897939682006836,-0.21959340572357178,1.236110806465149,1060
485,221184,455,108,1.2549734675396627e-11,0.0003,0.2,-0.0464711613021791,-16.29839634299278,0.03451332,0.28681640625,-1.0739846229553223,-0.22372156381607056,1.2370967864990234,1070
489,223232,455,109,8.922062334136517e-12,0.0003,0.2,-0.044054463686188684,-16.29546065926552,0.02958528,0.27890625,-4.665295600891113,-0.23501074314117432,1.2356547117233276,1080
494,225280,455,110,6.7151917964507025e-12,0.0003,0.2,-0.042201950348680836,-16.31859219670296,0.030467268,0.287890625,-1.7526249885559082,-0.22473430633544922,1.2426255941390991,1090
499,227328,455,111,5.68414323036795e-10,0.0003,0.2,-0.03955980124301277,-16.35925222039223,0.032167565,0.292578125,-0.7522836923599243,-0.20758678019046783,1.2475998401641846,1100
504,229376,455,112,3.106210255815478e-08,0.0003,0.2,-0.045447393794893286,-16.397062367200853,0.03492413,0.28896484375,-6.689741611480713,-0.2208622395992279,1.251809000968933,1110
508,231424,455,113,2.716405068069194e-09,0.0003,0.2,-0.04448970311204903,-16.419243413209916,0.037542447,0.30361328125,-4.201794624328613,-0.2202497124671936,1.252929449081421,1120
513,233472,455,114,3.4214925737248435e-09,0.0003,0.2,-0.048351184581406415,-16.45801971554756,0.038663916,0.301904296875,-4.506640911102295,-0.251066118478775,1.2600253820419312,1130
517,235520,454,115,5.412786272307457e-07,0.0003,0.2,-0.045606515515828505,-16.505438536405563,0.034922525,0.305615234375,-3.055725574493408,-0.19763877987861633,1.2662280797958374,1140
522,237568,454,116,3.509658865752385e-08,0.0003,0.2,-0.041069071789388546,-16.517743998765944,0.028610822,0.27177734375,-3.1309762001037598,-0.1959400326013565,1.2653268575668335,1150
526,239616,454,117,8.897895887455265e-09,0.0003,0.2,-0.042573080860893245,-16.54093600511551,0.03332169,0.290234375,-2.799908399581909,-0.20898401737213135,1.269534945487976,1160
531,241664,454,118,6.588418139871766e-08,0.0003,0.2,-0.0432697902986547,-16.551538079977036,0.032327365,0.29453125,-1.646810531616211,-0.2104419320821762,1.271091341972351,1170
535,243712,454,119,1.8497636842251807e-07,0.0003,0.2,-0.049320094473659995,-16.568027180433273,0.034018002,0.2919921875,-4.935448169708252,-0.18068400025367737,1.2725266218185425,1180
540,245760,454,120,6.210911560167176e-07,0.0003,0.2,-0.04671191608940717,-16.610658329725265,0.033143632,0.312841796875,-1.2963082790374756,-0.21823491156101227,1.2822067737579346,1190
545,247808,454,121,6.708313413650301e-08,0.0003,0.2,-0.04532934846065473,-16.65578275322914,0.035989195,0.292236328125,-2.201779842376709,-0.22992022335529327,1.2856388092041016,1200
549,249856,454,122,2.2849348471631892e-08,0.0003,0.2,-0.05082738661149051,-16.665003049373627,0.03648682,0.30400390625,-1.1797847747802734,-0.2395584136247635,1.2849525213241577,1210
554,251904,454,123,7.410234464932941e-09,0.0003,0.2,-0.04481173076783307,-16.666928070783616,0.033912744,0.290478515625,-1.205831527709961,-0.23497602343559265,1.2865209579467773,1220
558,253952,454,124,2.6778738813210135e-09,0.0003,0.2,-0.05415764760691673,-16.66894212961197,0.03927631,0.314501953125,-1.4733283519744873,-0.25082114338874817,1.2855552434921265,1230
563,256000,454,125,5.826468912374649e-10,0.0003,0.2,-0.05229248926334549,-16.6768845140934,0.04067345,0.3134765625,-1.545496940612793,-0.24498103559017181,1.2873449325561523,1240
567,258048,454,126,4.1153468517077936e-10,0.0003,0.2,-0.04583372652123217,-16.69297194480896,0.03290937,0.29560546875,-5.2109293937683105,-0.2568786144256592,1.2895704507827759,1250
572,260096,454,127,6.690182022088542e-10,0.0003,0.2,-0.051855850833817385,-16.697529178857803,0.03731639,0.31630859375,-6.181584358215332,-0.23274236917495728,1.2899256944656372,1260
576,262144,454,128,3.4505127900763543e-09,0.0003,0.2,-0.03981391226989217,-16.70647175312042,0.032563917,0.271533203125,-9.189774513244629,-0.2003713995218277,1.2900387048721313,1270
581,264192,454,129,9.224183871101021e-08,0.0003,0.2,-0.040820930275367574,-16.702293121814726,0.030488402,0.29375,-3.106856346130371,-0.22839929163455963,1.2906897068023682,1280
585,266240,454,130,1.973274652705692e-08,0.0003,0.2,-0.03511342720885295,-16.708802449703217,0.032736123,0.26005859375,-13.903609275817871,-0.23575444519519806,1.291849970817566,1290
590,268288,454,131,3.997480632275674e-09,0.0003,0.2,-0.04816560934414156,-16.711734235286713,0.036609948,0.311328125,-1.705390214920044,-0.21205095946788788,1.2916347980499268,1300
595,270336,454,132,4.583423249271412e-09,0.0003,0.2,-0.04514467072003754,-16.734851789474487,0.034472622,0.2884765625,-2.2605698108673096,-0.20642238855361938,1.296404242515564,1310
599,272384,453,133,2.7942566704040883e-08,0.0003,0.2,-0.03797303033061326,-16.768026053905487,0.034078535,0.29697265625,-5.960933685302734,-0.21198222041130066,1.3012808561325073,1320
604,274432,453,134,1.6610874621972305e-09,0.0003,0.2,-0.04144296407466754,-16.803766721487044,0.03314516,0.2873046875,-3.4126181602478027,-0.1999180167913437,1.3045178651809692,1330
609,276480,453,135,3.1834326265356427e-09,0.0003,0.2,-0.03759572962007951,-16.822864055633545,0.0291289,0.276416015625,-4.837821006774902,-0.2003442645072937,1.3064894676208496,1340
614,278528,453,136,2.6523914997082094e-09,0.0003,0.2,-0.04983947336149867,-16.839312839508057,0.0366031,0.321240234375,-0.7654037475585938,-0.24924735724925995,1.3103580474853516,1350
618,280576,453,137,3.3691553991133105e-09,0.0003,0.2,-0.04268051509279758,-16.88203666806221,0.033467438,0.307275390625,-30.136877059936523,-0.23487839102745056,1.316444754600525,1360
623,282624,453,138,5.581441327000281e-09,0.0003,0.2,-0.05023302656627493,-16.906811308860778,0.036670513,0.319677734375,-2.3518900871276855,-0.2449803501367569,1.3166598081588745,1370
627,284672,453,139,7.31057109001898e-08,0.0003,0.2,-0.03720845755306072,-16.917886871099473,0.028706076,0.298095703125,-2.4940271377563477,-0.2176988273859024,1.3202879428863525,1380
632,286720,453,140,4.0657262474763645e-07,0.0003,0.2,-0.03683317604882177,-16.9492915391922,0.03175784,0.290673828125,-2.310912609100342,-0.2281552106142044,1.324263572692871,1390
636,288768,453,141,1.3741065439942802e-07,0.0003,0.2,-0.045630859801894984,-16.961450237035752,0.035086714,0.295263671875,-5.913519859313965,-0.23339320719242096,1.324546217918396,1400
641,290816,453,142,2.6918516374263568e-08,0.0003,0.2,-0.0456708146375604,-16.95581434369087,0.03848629,0.301171875,-0.8771804571151733,-0.21643796563148499,1.323430061340332,1410
645,292864,453,143,1.4082294048922695e-08,0.0003,0.2,-0.040543256892124194,-16.981500285863877,0.032096196,0.2953125,-2.2674717903137207,-0.22004282474517822,1.3297713994979858,1420
650,294912,453,144,1.8148612546814436e-09,0.0003,0.2,-0.03947435779264197,-17.016779750585556,0.036296938,0.28896484375,-2.421205759048462,-0.23610983788967133,1.3330180644989014,1430
654,296960,453,145,7.922572518165305e-10,0.0003,0.2,-0.0412147190363612,-17.02939165830612,0.039380215,0.301123046875,-0.5404177904129028,-0.20833784341812134,1.3335541486740112,1440
