time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/policy_gradient_loss,train/loss,train/approx_kl,train/std,train/clip_fraction,train/learning_rate,train/clip_range,train/value_loss,train/entropy_loss,train/explained_variance,train/n_updates
213,17,163,73728,-0.06549711949191987,-0.12271401286125183,0.03909104,1.0687397718429565,0.327783203125,0.0003,0.2,0.47687789243645967,-14.86390061378479,0.1555042266845703,350
211,18,174,75776,-0.05752618138794787,-0.13067683577537537,0.031092353,1.0688296556472778,0.27724609375,0.0003,0.2,0.3947146592428908,-14.858497461676597,-0.5202211141586304,360
209,19,186,77824,-0.05439846636727452,-0.002375677227973938,0.03173217,1.072918176651001,0.282763671875,0.0003,0.2,0.6458283374551683,-14.87968590259552,-0.11183285713195801,370
184,1,11,79872,-0.06020417544059455,-0.01313711702823639,0.028613925,1.076896071434021,0.266357421875,0.0003,0.2,0.4399396990193054,-14.91353231370449,0.2737997770309448,380
175,2,23,81920,-0.061364924046210946,-0.014992058277130127,0.038416818,1.0806964635849,0.34365234375,0.0003,0.2,0.5140519717242569,-14.948349419236184,0.32547158002853394,390
175,3,34,83968,-0.049286675470648335,-0.07538273930549622,0.027743032,1.0844706296920776,0.24873046875,0.0003,0.2,0.7682265205308795,-14.983851233124733,0.1752462387084961,400
174,4,46,86016,-0.06614541854069103,0.13497337698936462,0.038730055,1.0854921340942383,0.3126953125,0.0003,0.2,0.494191994285211,-15.00664363503456,-0.27976131439208984,410
173,5,59,88064,-0.06045851877424866,-0.1381368637084961,0.03903474,1.0824517011642456,0.337255859375,0.0003,0.2,0.6016219281591475,-14.993030959367752,-0.12667417526245117,420
170,6,72,90112,-0.06050866170262452,-0.08390739560127258,0.042462483,1.0879420042037964,0.340380859375,0.0003,0.2,0.29108832342317326,-15.017288115620612,0.1454836130142212,430
168,7,85,92160,-0.067562127369456,-0.0992378443479538,0.040967356,1.087469458580017,0.339208984375,0.0003,0.2,0.3728117468301207,-15.025138506293297,0.6480163335800171,440
165,8,98,94208,-0.057886462556780316,0.10946318507194519,0.04315881,1.0894289016723633,0.32705078125,0.0003,0.2,0.5712818945292384,-15.036473250389099,0.15253126621246338,450
164,9,112,96256,-0.053491998370736836,0.24545638263225555,0.031138562,1.092626690864563,0.253271484375,0.0003,0.2,1.0073555525857956,-15.061628130078315,0.20358067750930786,460
162,10,126,98304,-0.06133319042855874,0.05278487503528595,0.041586526,1.0954567193984985,0.34052734375,0.0003,0.2,0.5901132008060813,-15.08498187661171,0.08192294836044312,470
160,11,140,100352,-0.06016004111152142,-0.12590399384498596,0.04130079,1.100773811340332,0.32841796875,0.0003,0.2,0.536863171774894,-15.132469978928565,0.23624873161315918,480
158,12,155,102400,-0.05808338662609458,0.15584376454353333,0.024656475,1.103460669517517,0.2458984375,0.0003,0.2,0.8108983787707984,-15.15946248471737,0.20549774169921875,490
