time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/value_loss,train/explained_variance,train/approx_kl,train/learning_rate,train/n_updates,train/clip_fraction,train/loss,train/clip_range,train/std,train/policy_gradient_loss,train/entropy_loss
295,57344,194,28,65668.97612304687,3.7550926208496094e-06,0.013845381,0.0003,270,0.16083984375,34024.9765625,0.2,1.0459524393081665,-0.034136663662502544,-14.6174215644598
311,59392,190,29,79648.79591064453,1.6093254089355469e-06,0.01087907,0.0003,280,0.115478515625,37098.81640625,0.2,1.047729253768921,-0.027238984970608726,-14.646086648106575
328,61440,187,30,59669.69403076172,-0.00010192394256591797,0.012089618,0.0003,290,0.131640625,26651.6171875,0.2,1.046413540840149,-0.0276017830503406,-14.646929141879081
345,63488,183,31,86354.84428710937,5.960464477539063e-08,0.011686666,0.0003,300,0.124951171875,38599.796875,0.2,1.048235297203064,-0.027989919585525058,-14.647118419408798
362,65536,180,32,63176.214367675784,5.364418029785156e-07,0.013922557,0.0003,310,0.141552734375,27725.751953125,0.2,1.0469098091125488,-0.03196120657667052,-14.647504657506943
381,67584,177,33,70266.80935058594,7.152557373046875e-07,0.013323764,0.0003,320,0.139111328125,34750.99609375,0.2,1.0480493307113647,-0.032440918951760975,-14.647188779711723
400,69632,173,34,84941.8984375,-8.344650268554688e-07,0.011409644,0.0003,330,0.106103515625,40988.42578125,0.2,1.0500366687774658,-0.02774881067452952,-14.661498203873634
419,71680,170,35,72970.29398193359,8.940696716308594e-07,0.012301197,0.0003,340,0.126708984375,36035.26171875,0.2,1.0551313161849976,-0.029022312976303512,-14.697810071706773
440,73728,167,36,77763.09721679687,1.1324882507324219e-06,0.011484593,0.0003,350,0.116552734375,39350.71484375,0.2,1.0542107820510864,-0.028979041744605638,-14.715573972463607
461,75776,164,37,71536.32799072265,7.152557373046875e-07,0.012920601,0.0003,360,0.13349609375,29719.498046875,0.2,1.056619644165039,-0.0316502770583611,-14.724513310194016
483,77824,161,38,68272.18217773437,3.5762786865234375e-07,0.012600122,0.0003,370,0.126953125,31279.75,0.2,1.0571951866149902,-0.029615484006353655,-14.737682557106018
505,79872,158,39,79301.00317382812,-4.76837158203125e-07,0.012116675,0.0003,380,0.127783203125,33488.07421875,0.2,1.057573676109314,-0.0306468463211786,-14.743160557746886
527,81920,155,40,89523.46975097657,5.960464477539063e-08,0.010953564,0.0003,390,0.112548828125,47697.265625,0.2,1.0597671270370483,-0.028571409767027944,-14.750635367631912
551,83968,152,41,67694.95881347657,-5.7220458984375e-06,0.014443027,0.0003,400,0.1427734375,37240.0234375,0.2,1.064103603363037,-0.030887814256129787,-14.790403920412064
575,86016,149,42,61703.132751464844,-2.384185791015625e-07,0.013906814,0.0003,410,0.152783203125,21186.39453125,0.2,1.0701351165771484,-0.03434735823830124,-14.842249417304993
600,88064,146,43,73911.45821533204,3.5762786865234375e-07,0.013180077,0.0003,420,0.13994140625,32064.26953125,0.2,1.0734919309616089,-0.03273078347556293,-14.880463898181915
626,90112,143,44,77760.7306640625,2.384185791015625e-07,0.014234637,0.0003,430,0.16494140625,37814.3515625,0.2,1.079455018043518,-0.03322113916801754,-14.92643563747406
652,92160,141,45,69372.28278808594,1.3113021850585938e-06,0.012841068,0.0003,440,0.13603515625,33698.19140625,0.2,1.0783865451812744,-0.03203838463814464,-14.941609057784081
681,94208,138,46,65933.85750732422,-2.5033950805664062e-06,0.013885759,0.0003,450,0.15556640625,35831.203125,0.2,1.083369493484497,-0.03205357797560282,-14.966313377022743
709,96256,135,47,62090.80404052734,4.887580871582031e-06,0.013564106,0.0003,460,0.151904296875,31751.134765625,0.2,1.0853807926177979,-0.030890261678723618,-14.998363673686981
735,98304,133,48,63291.85939941406,5.960464477539062e-07,0.01395319,0.0003,470,0.15263671875,28354.912109375,0.2,1.0889350175857544,-0.031104696120019072,-15.021818009018897
765,100352,131,49,56734.534765625,-0.001369476318359375,0.014334614,0.0003,480,0.1453125,29128.802734375,0.2,1.0900121927261353,-0.03236934451269917,-15.042073386907578
795,102400,128,50,58346.564416503905,-8.273124694824219e-05,0.0142584685,0.0003,490,0.1556640625,27466.3671875,0.2,1.0948463678359985,-0.03149290635774378,-15.074190267920494
825,104448,126,51,63819.9114868164,-1.1920928955078125e-06,0.013861531,0.0003,500,0.142578125,34817.0625,0.2,1.0965551137924194,-0.03088433254160918,-15.0953916400671
857,106496,124,52,60284.43587646484,1.7881393432617188e-07,0.015861636,0.0003,510,0.17021484375,26371.626953125,0.2,1.1002405881881714,-0.03695337678946089,-15.131341853737831
