time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/value_loss,train/clip_fraction,train/entropy_loss,train/n_updates,train/explained_variance,train/clip_range,train/std,train/loss,train/approx_kl,train/learning_rate,train/policy_gradient_loss
159744,137,1164,78,54307.823669433594,0.1767578125,-15.487062558531761,770,5.9604644775390625e-06,0.2,1.14217209815979,26634.001953125,0.016823458,0.0003,-0.03374232073983876
161792,135,1192,79,53809.09633789062,0.169970703125,-15.49654787182808,780,5.364418029785156e-07,0.2,1.1409939527511597,28788.359375,0.015159769,0.0003,-0.03379152748675551
163840,133,1223,80,52191.82723388672,0.1669921875,-15.5116176456213,790,0.0,0.2,1.144942283630371,26701.64453125,0.015350883,0.0003,-0.03609155924350489
165888,131,1261,81,36896.97573242187,0.20185546875,-15.54563837647438,800,-1.1920928955078125e-07,0.2,1.1475703716278076,15874.0537109375,0.018811785,0.0003,-0.0389494613133138
167936,129,1298,82,45125.99838867188,0.152783203125,-15.57168336212635,810,1.1920928955078125e-07,0.2,1.151869773864746,24353.244140625,0.014588728,0.0003,-0.029170215589692815
169984,127,1337,83,50222.12318115235,0.1826171875,-15.600628942251205,820,-0.0002492666244506836,0.2,1.1535046100616455,20332.8984375,0.015848378,0.0003,-0.03675017715140712
172032,124,1379,84,51762.793286132815,0.165478515625,-15.604295885562896,830,1.1920928955078125e-07,0.2,1.1542911529541016,23039.556640625,0.015324051,0.0003,-0.032584627997130154
174080,122,1422,85,55433.319396972656,0.169970703125,-15.622681468725204,840,-5.960464477539062e-07,0.2,1.1572585105895996,30010.296875,0.015762344,0.0003,-0.03294632824836299
176128,120,1466,86,58837.86313476563,0.181689453125,-15.649526005983352,850,0.0,0.2,1.1612632274627686,27695.25,0.017484818,0.0003,-0.03280875264754286
178176,117,1510,87,41514.34626464844,0.200830078125,-15.70899302661419,860,-3.5762786865234375e-07,0.2,1.168795108795166,17549.55859375,0.018681727,0.0003,-0.03462228258140385
180224,115,1554,88,50295.89221191406,0.170361328125,-15.750355461239815,870,-0.033670902252197266,0.2,1.171804428100586,26342.220703125,0.015994202,0.0003,-0.03325624442877597
182272,113,1600,89,51458.62463378906,0.1787109375,-15.771106600761414,880,-0.00020062923431396484,0.2,1.1751229763031006,27912.55859375,0.017404523,0.0003,-0.03136901717807632
184320,111,1646,90,48664.60711669922,0.174951171875,-15.774128177762032,890,0.0006741881370544434,0.2,1.173209547996521,24156.953125,0.014754704,0.0003,-0.03358356149401516
186368,110,1693,91,46003.15769042969,0.18193359375,-15.772804898023605,900,0.0014507174491882324,0.2,1.1740901470184326,23040.72265625,0.016314927,0.0003,-0.033310651234933174
188416,108,1739,92,60523.82203369141,0.15390625,-15.786986374855042,910,-6.4373016357421875e-06,0.2,1.1768743991851807,29118.09765625,0.014051885,0.0003,-0.028674170226440764
